"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
219.2206,-221.6384,0.74739,-0.18685,-0.18685,1.2054,0.86358,0.00097382,-5,0.0011277,"0.1894","1.41059","0.226223","0.7","0.895162","0.781981",
108.4014,-221.6384,1.7469,-0.62358,-0.81043,2.2489,0.86358,0.00097382,-4.5,,,,,,,,
53.6608,-109.4812,1.6996,-0.86162,-1.672,5.3231,1.893,0.0021346,-4,,,,,,,,
26.6209,-54.0797,1.6359,-0.83387,-2.5059,12.2548,4.3945,0.0049555,-3.5,,,,,,,,
13.2642,-26.7134,1.5483,-0.79604,-3.302,27.1658,9.8552,0.011113,-3,,,,,,,,
6.6665,-13.1954,1.4267,-0.74373,-4.0457,57.1505,21.0791,0.02377,-2.5,,,,,,,,
3.4075,-6.5181,1.2649,-0.67288,-4.7186,112.0077,42.2896,0.047688,-2,,,,,,,,
1.7977,-3.2197,1.1007,-0.59139,-5.31,202.3413,78.5873,0.08862,-1.5,,,,,,,,
1.0025,-1.5904,1.574,-0.66867,-5.9786,394.896,149.3093,0.16837,-1,,,,,,,,
0.60965,-0.7856,-1.248,-0.081501,-6.0601,428.4285,205.8311,0.23211,-0.5,,,,,,,,
0.41562,-0.38806,-1.0749,0.58072,-5.4794,239.7026,167.0328,0.18836,0,,,,,,,,
0.31978,-0.19169,-1.2542,0.58227,-4.8971,133.9043,93.4017,0.10533,0.5,,,,,,,,
0.27244,-0.094686,-1.3266,0.6452,-4.2519,70.2408,51.0363,0.057552,1,,,,,,,,
0.24905,-0.046772,-1.2883,0.65372,-3.5982,36.5326,26.6933,0.030101,1.5,,,,,,,,
0.2375,-0.023103,-1.1919,0.62005,-2.9782,19.6515,14.046,0.015839,2,,,,,,,,
0.23179,-0.011412,-1.0788,0.56769,-2.4105,11.1391,7.6976,0.0086803,2.5,,,,,,,,
0.22897,-0.0056372,-0.97001,0.51221,-1.8982,6.6742,4.4533,0.0050218,3,,,,,,,,
0.22758,-0.0027846,-0.87322,0.46081,-1.4374,4.2099,2.721,0.0030684,3.5,,,,,,,,
0.22689,-0.0013755,-0.78992,0.41579,-1.0217,2.7778,1.7469,0.0019699,4,,,,,,,,
0.22655,-0.00067944,-0.71904,0.37724,-0.64441,1.9049,1.1707,0.0013201,4.5,,,,,,,,
0.22639,-0.00033562,-0.65875,0.34445,-0.29997,1.3498,0.81367,0.00091754,5,,,,,,,,
0.2263,-0.00016578,-0.60723,0.3165,0.016529,0.98361,0.58335,0.00065783,5.5,,,,,,,,
0.22626,-8.1891e-05,-0.56291,0.29254,0.30907,0.73413,0.42943,0.00048426,6,,,,,,,,

